Cocunut,Mortgage_YN,AGE_AT_ORIGINATION,AGE,YEARS_WITH_BANK,MARTIAL_STATUS,EDUCATION,EMPLOYMENT,GENDER,CUST_INCOME,CURRENT_ADDRESS_DATE,CURRENT_JOB_DATE,CURRENT_WITH_BANK_DATE,CURRENT_BALANCE_EUR
38254,N,NA,63,3,D,HGH,RET,F,165,5653846,2008-01-01,9999-10-01,2014-05-15
38256,N,NA,59,5,W,HGH,RET,F,520,7692308,1977-05-01,9999-10-01,2011-08-02
38257,N,NA,57,1,M,BCR,RET,F,246,1538462,1960-02-19,2000-10-25,2015-08-08
38260,N,NA,62,11,M,HGH,RET,F,255,9271538,2005-05-01,9999-10-01,2005-10-26
38263,N,NA,59,1,W,HGH,PVE,F,469,2307692,1981-06-01,1981-08-05,2015-08-07
38267,N,NA,60,3,W,HGH,RET,F,253,8461538,2006-01-01,9999-10-01,2014-03-31
38269,N,NA,35,10,M,HGH,STE,M,240,6538462,2004-12-31,2007-04-23,2006-08-29
38271,N,NA,46,6,M,HGH,PVE,M,302,9461538,2007-01-01,2012-05-01,2011-05-13
38276,N,NA,48,12,M,BCR,RET,M,330,7692308,2002-01-20,1990-07-22,2005-02-08
38280,N,NA,36,1,M,HGH,STE,F,247,3307692,2005-01-01,2011-08-01,2015-08-13
38289,N,NA,45,5,M,HGH,STE,M,213,2858462,1972-02-15,2005-04-28,2011-12-19
38292,N,NA,58,11,M,HGH,RET,M,285,9830769,1965-09-01,9999-10-01,2006-06-15
38294,N,NA,65,8,S,HGH,RET,F,268,6569231,1995-05-01,9999-10-01,2009-02-27
38295,N,NA,35,12,M,HGH,PVE,M,733,9153846,1982-03-30,2005-05-17,2005-05-26
38298,N,NA,46,12,M,BCR,STE,M,991,4781538,2005-08-17,2011-07-11,2004-10-15
38300,N,NA,33,1,M,BCR,PVE,F,307,6923077,1984-10-16,2012-08-01,2015-08-12
38302,N,NA,38,4,M,HGH,PVE,M,272,8205385,2006-12-25,2011-11-01,2012-12-04
38303,N,NA,41,4,M,HGH,PVE,F,223,769231,1976-10-09,2004-10-01,2012-11-12
38304,N,NA,50,11,M,HGH,PVE,F,208,7230769,1992-01-01,2009-10-15,2005-10-05
38305,N,NA,61,6,M,HGH,RET,F,150,3013077,1996-11-29,9999-10-01,2011-02-03
38307,N,NA,64,10,M,HGH,RET,F,200,2006-01-01,2007-11-19,2006-11-06,128
38311,N,NA,32,12,S,HGH,PVE,F,234,9923077,1985-03-08,2015-01-05,2005-03-02
38312,N,NA,56,4,M,HGH,PVE,M,266,7384615,1961-01-07,2010-02-09,2013-04-17
38322,N,NA,35,4,S,HGH,PVE,M,263,2687692,2012-06-01,2013-05-28,2012-10-23
38323,N,NA,36,11,M,HGH,PVE,M,960,1076923,1981-12-31,2000-11-20,2005-09-21
38326,N,NA,37,3,M,HGH,PVE,F,191,918,2000-05-01,2012-10-12,2013-07-29
38327,N,NA,59,1,M,HGH,STE,M,616,348462,1977-01-01,1996-03-26,2015-08-12
38334,N,NA,46,6,S,HGH,STE,F,224,307692,2011-07-07,2007-09-19,2010-10-21
38338,N,NA,63,1,M,HGH,RET,M,209,2307692,1954-01-15,2000-10-28,2015-08-11
38340,N,NA,29,1,M,BCR,PVE,M,269,2307692,2006-06-01,2014-12-14,2015-08-13
38346,N,NA,46,15,M,BCR,STE,F,384,6153846,1971-03-04,2007-07-01,2002-01-23
38351,N,NA,46,1,M,HGH,STE,M,367,3490769,2001-07-13,2007-11-20,2015-08-11
38354,N,NA,54,13,S,BCR,STE,M,298,3289231,1963-11-10,1997-03-01,2003-09-22
38356,N,NA,40,10,D,HGH,PVE,F,169,2307692,1995-05-01,2008-01-12,2006-07-06
38361,N,NA,51,1,M,HGH,PVE,F,338,5076923,1999-01-01,2010-12-06,2015-08-11
38369,N,NA,58,11,M,HGH,PVE,M,277,615385,2005-01-04,2005-01-01,2005-09-09
38371,N,NA,37,1,M,HGH,STE,M,430,7692308,2014-07-01,2000-07-01,2015-07-11
38373,N,NA,64,1,M,BCR,RET,F,276,9230769,1996-01-01,2000-10-28,2015-08-11
38381,N,NA,54,11,D,BCR,STE,F,512,8169231,2006-01-01,2005-06-27,2005-08-09
38386,N,NA,36,9,S,BCR,PVE,M,425,7076923,2007-07-30,2016-02-01,2008-03-10
38387,N,NA,53,1,D,HGH,STE,F,424,789,1996-01-01,1997-06-01,2015-07-14
38389,N,NA,59,11,M,HGH,RET,F,282,6401538,1965-09-01,9999-10-01,2006-04-28
38390,N,NA,48,10,D,HGH,STE,F,203,302308,2007-09-15,1997-10-13,2006-12-01
38391,N,NA,64,3,M,HGH,RET,M,248,983846,1980-01-01,9999-10-01,2014-03-12
38392,N,NA,35,1,M,HGH,PVE,M,276,9230769,2014-07-01,2007-08-01,2015-08-12
38401,N,NA,37,1,M,HGH,STE,M,438,4615385,1980-03-30,2002-10-01,2015-08-13
38405,N,NA,67,12,M,HGH,RET,F,230,7692308,1984-03-24,9999-10-01,2005-07-04
38408,N,NA,64,1,M,HGH,RET,M,230,7692308,1960-01-01,2000-10-30,2015-08-13
38409,N,NA,49,5,M,BCR,PVE,F,307,6923077,1996-01-01,2011-03-01,2011-09-12
38411,N,NA,61,11,M,HGH,RET,F,490,1615385,1976-05-01,9999-10-01,2005-07-15
38412,N,NA,47,13,M,HGH,PVE,F,488,7384615,1996-10-05,2008-03-25,2004-07-01
38418,N,NA,25,2,S,HGH,STE,M,249,3021538,1992-08-20,2015-02-02,2015-01-26
38421,N,NA,50,12,M,BCR,PVE,M,846,639,2010-06-10,2008-09-15,2005-03-10
38425,N,NA,35,9,S,BCR,STE,M,396,8307692,1982-11-15,2004-06-14,2007-11-14
38427,N,NA,56,11,M,HGH,STE,F,330,7692308,1998-06-01,2007-04-11,2006-04-14
38430,N,NA,49,3,S,HGH,STE,F,263,6846154,2001-09-15,2010-07-29,2014-06-09
38431,N,NA,46,10,M,BCR,PVE,M,780,7384615,1980-01-01,2006-11-09,2006-10-30
38433,N,NA,41,13,M,HGH,STE,F,320,2895385,2014-01-13,2001-02-12,2004-05-31
38434,N,NA,47,10,S,HGH,STE,M,262,7947692,1980-10-01,2007-04-10,2007-04-05
38435,N,NA,45,11,S,BCR,SFE,F,269,2307692,2012-01-01,2003-02-17,2005-12-01
38444,N,NA,55,11,M,HGH,STE,F,458,6692308,1988-07-01,1996-08-01,2005-12-12
38461,N,NA,59,1,M,HGH,STE,M,262,8481538,1965-01-01,2006-11-01,2015-08-12
38463,N,NA,36,10,S,HGH,PVE,M,238,4615385,2000-02-23,2005-12-01,2007-03-22
38465,N,NA,38,9,M,BCR,STE,M,373,204,2006-02-04,2006-07-05,2008-02-18
38472,N,NA,65,1,M,HGH,RET,F,273,1875385,1952-04-02,9999-10-01,2015-08-11
38473,N,NA,65,11,M,HGH,RET,M,242,4673846,1980-10-10,9999-10-01,2005-07-22
38475,N,NA,30,1,M,HGH,STE,F,269,2307692,1987-08-17,2013-01-01,2015-08-13
38476,N,NA,55,8,M,HGH,STE,M,454,4153846,1962-02-28,1983-06-05,2008-09-15
38482,N,NA,50,12,M,BCR,PVE,F,367,2153846,1967-04-12,1994-04-01,2005-03-23
38487,N,NA,50,9,M,HGH,PVE,M,187,2076923,2013-08-01,2016-07-01,2008-01-08
38495,N,NA,27,5,S,BCR,PVE,F,414,6467692,1990-03-07,2015-08-03,2011-09-22
38498,N,NA,42,2,S,HGH,STE,M,296,4433077,1975-12-13,2005-12-09,2015-04-15
38499,N,NA,50,12,M,HGH,STE,F,266,6769231,1988-01-01,1990-11-14,2004-07-10
38503,N,NA,53,11,M,BCR,STE,M,700,8756923,1964-09-20,1986-08-01,2005-08-05
38504,N,NA,37,3,W,HGH,PVE,F,166,841,2013-06-07,2001-07-01,2014-04-07
38508,N,NA,59,4,M,HGH,STE,M,335,1477692,2000-01-01,1987-12-15,2012-10-15
38509,N,NA,29,4,S,HGH,PVE,F,196,6645385,1988-04-28,2008-09-23,2013-01-30
38510,N,NA,47,11,M,BCR,STE,M,226,4316154,1985-08-01,2001-11-22,2005-09-24
38515,N,NA,23,1,M,HGH,PVE,F,169,8204615,1995-01-01,2015-01-01,2015-07-28
38516,N,NA,30,3,M,HGH,PVE,F,223,769231,2013-01-01,2010-12-06,2013-07-12
38519,N,NA,46,11,M,MAS,STE,F,448,9220769,2005-03-01,2005-06-30,2005-08-29
38520,N,NA,45,1,M,HGH,PVE,F,232,3076923,2012-04-01,2012-01-01,2015-08-15
38528,N,NA,33,3,M,HGH,PVE,M,1001,970231,2013-06-01,2012-03-05,2013-11-05
38533,N,NA,32,1,S,HGH,PVE,M,324,5307692,1985-06-23,2012-09-24,2015-08-28
38545,N,NA,35,1,M,HGH,PVE,M,818,2384615,2001-05-10,2014-09-01,2015-08-31
38548,N,NA,67,11,M,HGH,RET,M,166,3346154,1976-01-01,9999-10-01,2005-09-13
38550,N,NA,61,1,W,HGH,RET,F,230,7692308,2000-03-26,2000-11-18,2015-09-01
38556,N,NA,46,2,M,HGH,PVE,M,173,3266154,1971-10-26,2012-07-11,2014-12-30
38557,N,NA,68,6,M,HGH,RET,F,186,2783846,1990-01-01,1995-11-24,2010-09-06
38558,N,NA,54,10,D,HGH,PVE,F,174,8089231,2014-02-01,2015-09-01,2007-05-11
38575,N,NA,39,11,S,BCR,STE,M,351,3463077,1978-10-30,2000-05-29,2005-08-17
38576,N,NA,51,12,M,HGH,RET,M,230,7692308,1980-01-01,9999-10-01,2005-04-14
38582,N,NA,22,1,S,HGH,PVE,M,315,3846154,1995-02-18,2014-10-23,2015-08-14
38583,N,NA,54,7,M,HGH,PVE,M,317,7692308,1979-12-31,2007-01-01,2010-01-20
38584,N,NA,63,1,W,HGH,RET,F,161,5384615,1992-02-01,2000-09-24,2015-07-08
38586,N,NA,62,4,M,PRS,RET,M,164,9015385,1956-01-01,9999-10-01,2013-03-22
38587,N,NA,23,1,S,HGH,PVE,M,261,5384615,1994-12-10,2014-02-01,2015-08-28
38589,N,NA,34,2,S,HGH,PVE,M,239,9896923,1983-12-10,2014-07-17,2014-12-25
38590,N,NA,29,3,S,HGH,PVE,M,384,6153846,1988-03-01,2014-08-15,2013-09-16
38592,N,NA,62,2,D,BCR,STE,F,689,7175385,2008-08-01,1997-04-01,2015-02-20
38594,N,NA,49,12,M,HGH,RET,F,259,1597692,1988-02-05,9999-10-01,2005-03-22
38596,N,NA,29,5,S,HGH,PVE,M,167,3029231,1988-09-12,2010-09-01,2011-09-20
38597,N,NA,40,12,M,HGH,PVE,M,462,1692308,2007-01-01,2001-07-16,2005-04-07
38604,N,NA,29,1,S,HGH,PVE,F,246,1538462,2010-07-01,2012-08-01,2015-08-20
38605,N,NA,56,12,M,HGH,STE,M,692,3076923,1990-01-01,1997-04-21,2005-06-01
38606,N,NA,47,12,M,BCR,PVE,F,224,3657692,2009-01-01,2015-05-06,2005-03-21
38607,N,NA,58,1,W,HGH,RET,F,238,4615385,2010-01-12,2000-11-12,2015-08-26
38612,N,NA,60,5,M,HGH,SFE,F,187,7230769,1988-01-01,2007-10-01,2012-04-02
38615,N,NA,38,2,M,HGH,PVE,M,182,2307692,2011-10-02,2014-07-14,2014-11-24
38619,N,NA,64,2,D,HGH,RET,F,230,6207692,1965-10-01,9999-10-01,2014-07-10
38620,N,NA,52,3,M,HGH,STE,M,258,8852308,1965-11-23,1984-01-01,2014-05-15
38628,N,NA,63,4,W,HGH,RET,F,269,2769231,1971-06-01,9999-10-01,2012-11-26
38630,N,NA,23,1,S,HGH,PVE,M,275,3076923,1994-08-10,2013-08-21,2015-08-31
38636,N,NA,52,10,M,HGH,PVE,F,276,2761538,1965-11-08,2011-12-01,2006-12-08
38653,N,NA,51,12,M,HGH,PVE,M,239,2846154,1974-09-01,2010-01-01,2005-05-24
38654,N,NA,34,9,S,HGH,PVE,M,276,9230769,1983-01-04,2014-08-01,2008-03-07
38656,N,NA,36,4,M,HGH,STE,M,352,2287692,1981-03-26,2009-06-15,2012-10-08
38662,N,NA,26,4,S,HGH,PVE,M,194,153846,2008-01-01,2011-01-14,2012-12-26
38664,N,NA,49,12,M,HGH,STE,M,469,8623077,1972-05-13,1989-12-29,2005-06-21
38665,N,NA,41,1,M,HGH,STE,F,251,2646154,2010-12-01,2013-12-01,2015-08-20
38672,N,NA,57,1,M,HGH,PVE,F,296,1538462,1960-04-11,2010-04-05,2015-08-17
38674,N,NA,62,13,M,BCR,OTH,M,641,8307692,2008-03-28,9999-10-01,2003-07-14
38675,N,NA,63,3,M,BCR,RET,M,261,5384615,2010-07-06,1999-05-04,2014-02-14
38679,N,NA,63,6,D,HGH,RET,F,232,6920769,2014-01-01,9999-10-01,2011-05-19
38682,N,NA,45,1,M,HGH,PVE,M,276,9230769,2012-01-01,2014-11-01,2015-08-26
38693,N,NA,65,2,M,HGH,RET,M,239,1452308,1984-01-01,1999-09-29,2014-07-12
38695,N,NA,66,1,M,HGH,RET,F,372,7076923,1972-09-01,9999-10-01,2015-08-24
38698,N,NA,49,12,M,HGH,PVE,F,659,9153846,1995-10-01,2008-01-01,2005-03-07
38700,N,NA,48,1,M,HGH,STE,M,626,6054615,1995-05-01,1992-09-01,2015-08-14
38701,N,NA,24,1,S,HGH,OTH,F,164,8776154,1993-03-12,9999-10-01,2015-08-14
38702,N,NA,44,10,M,BCR,STE,F,755,8307692,2001-01-01,2015-12-01,2007-03-29
38707,N,NA,50,4,D,HGH,STE,F,167,6890769,1995-08-17,2005-01-19,2012-08-10
38709,N,NA,64,4,M,HGH,RET,M,203,769231,1970-02-01,1998-02-20,2012-12-03
38710,N,NA,24,2,S,HGH,PVE,M,426,3615385,1993-03-01,2015-07-01,2015-01-05
38711,N,NA,57,1,M,HGH,RET,F,222,5649231,9999-10-01,9999-10-01,2015-08-12
38717,N,NA,63,1,W,HGH,RET,F,407,3307692,1997-09-27,9999-10-01,2015-08-24
38718,N,NA,39,1,D,HGH,PVE,F,253,8461538,2014-02-06,2013-06-10,2015-08-19
38723,N,NA,49,1,M,HGH,PVE,F,210,2307692,1990-01-01,2006-03-01,2015-08-17
38725,N,NA,32,4,M,HGH,PVE,M,346,1538462,1985-03-24,2012-11-19,2013-02-19
38726,N,NA,45,12,M,BCR,STE,F,1014,415385,2005-05-04,2005-07-01,2004-11-15
38731,N,NA,63,1,M,HGH,RET,F,238,4615385,1976-01-01,2000-11-03,2015-08-17
38739,N,NA,24,1,S,HGH,RET,F,116,7846154,9999-10-01,9999-10-01,2015-08-06
38740,N,NA,47,5,M,HGH,PVE,M,476,5353846,1970-04-02,2009-01-02,2012-06-05
38741,N,NA,51,6,M,BCR,STE,F,343,6538462,1995-01-01,2002-09-16,2011-02-02
38743,N,NA,53,1,M,HGH,OTH,F,590,5040769,1964-12-12,1988-06-01,2015-08-17
38762,N,NA,39,9,M,BCR,PVE,M,1226,483154,1978-07-28,2008-05-01,2007-12-12
38763,N,NA,46,2,M,HGH,PVE,F,165,8,1989-05-01,9999-10-01,2014-12-11
38766,N,NA,52,12,M,HGH,PVE,F,269,2307692,1997-09-01,2015-04-17,2005-04-08
38768,N,NA,36,4,S,HGH,PVE,M,538,4648462,1988-12-01,2013-09-05,2013-03-21
38774,N,NA,46,11,D,BCR,PVE,F,738,82,2008-09-01,2005-11-01,2005-11-30
38781,N,NA,29,4,S,HGH,PVE,F,196,6645385,1988-04-28,2008-09-23,2013-01-30
38787,N,NA,62,12,M,HGH,RET,M,278,9626923,1955-02-18,9999-10-01,2005-01-21
38793,N,NA,43,11,M,BCR,PVE,F,627,7846154,2014-04-29,2014-07-28,2005-07-30
38795,N,NA,36,3,S,HGH,PVE,M,242,9094615,1981-03-16,2015-02-01,2013-09-09
38798,N,NA,43,1,M,HGH,PVE,M,258,1692308,1975-01-01,2011-06-01,2015-08-15
38799,N,NA,53,1,M,HGH,RET,M,288,4615385,1964-03-18,2000-11-10,2015-08-24
38801,N,NA,61,10,M,HGH,RET,M,203,8461538,1956-08-26,9999-10-01,2006-09-11
38807,N,NA,48,1,M,HGH,PVE,F,346,1538462,1991-02-11,2004-08-01,2015-08-28
38808,N,NA,55,1,M,HGH,STE,M,676,9230769,1987-10-10,1984-03-01,2015-09-03
38809,N,NA,60,7,M,HGH,RET,F,140,5087692,1995-01-01,9999-10-01,2010-06-08
38811,N,NA,47,1,M,HGH,PVE,F,167,2,2006-08-01,2009-06-01,2015-07-06
38815,N,NA,38,10,M,HGH,STE,M,427,3584615,1979-02-25,2005-03-04,2006-12-19
38821,N,NA,48,7,M,BCR,STE,F,425,5323846,2003-10-01,1999-11-08,2009-09-04
38822,N,NA,25,4,S,HGH,PVE,F,887,1692308,2007-04-01,2014-11-08,2012-08-21
38828,N,NA,36,1,M,HGH,PVE,F,353,8461538,2003-01-01,2010-01-01,2015-08-18
38829,N,NA,48,7,M,SEC,STE,M,244,2769231,1975-01-01,2013-08-07,2010-06-04
38835,N,NA,68,7,W,HGH,RET,F,501,2892308,1952-01-01,9999-10-01,2009-11-11
38844,N,NA,28,1,S,HGH,PVE,M,175,4409231,2005-09-01,2015-11-01,2015-08-31
38851,N,NA,54,1,M,HGH,RET,M,261,5384615,1970-05-01,2000-11-04,2015-08-18
38855,N,NA,42,1,S,PRS,PVE,M,252,461538,1975-06-10,2005-07-10,2015-08-28
38863,N,NA,44,9,M,HGH,PVE,M,709,4293846,1997-01-01,2010-01-01,2008-04-23
38864,N,NA,41,12,M,HGH,STE,F,406,8769231,1985-01-01,2002-02-17,2005-06-15
38869,N,NA,24,3,M,HGH,STE,F,255,9687692,1993-02-07,2014-04-29,2013-12-17
38870,N,NA,47,5,W,HGH,PVE,M,301,5384615,2005-05-01,2007-07-02,2011-09-23
38873,N,NA,42,2,M,HGH,STE,M,238,4615385,1975-10-21,1998-01-01,2014-08-22
38874,N,NA,48,1,M,BCR,STE,M,334,6538462,1996-07-01,2006-11-27,2015-07-29
38879,N,NA,36,7,M,BCR,STE,F,351,3588462,2011-02-01,2013-12-06,2010-05-31
38880,N,NA,58,10,M,HGH,STE,F,282,1776154,1977-01-01,1983-08-19,2006-11-13
38882,N,NA,52,10,W,HGH,PVE,F,197,2640769,1988-01-01,1984-06-05,2006-10-03
38883,N,NA,36,11,M,HGH,STE,F,354,8613077,2004-07-28,2002-09-02,2005-09-13
38884,N,NA,67,4,W,HGH,RET,F,272,2803077,1980-02-01,9999-10-01,2013-06-18
38886,N,NA,53,1,M,HGH,STE,F,369,2307692,1984-01-01,1995-06-01,2015-08-21
38900,N,NA,41,9,M,HGH,STE,F,301,498462,1997-06-20,1996-10-10,2007-08-01
38901,N,NA,39,9,M,HGH,PVE,F,315,3846154,2008-01-01,9999-10-01,2008-04-10
38905,N,NA,21,1,S,HGH,PVE,M,255,4102308,1996-01-30,2015-07-20,2015-08-26
38910,N,NA,26,5,S,HGH,PVE,M,172,3538462,1991-09-13,2014-02-01,2011-12-01
38912,N,NA,35,6,S,SEC,STE,M,257,2666923,1982-09-07,2008-12-01,2010-11-19
38915,N,NA,68,10,M,HGH,RET,F,219,3887692,1993-01-01,9999-10-01,2007-03-22
38923,N,NA,63,4,M,HGH,RET,M,168,9627692,1954-02-05,9999-10-01,2013-03-18
38929,N,NA,67,8,W,HGH,RET,F,181,5983077,2008-01-01,9999-10-01,2008-08-22
38930,N,NA,34,5,S,HGH,PVE,M,310,307692,2012-03-07,2007-08-01,2011-12-14
38935,N,NA,61,6,M,HGH,PVE,M,1170,723077,2008-06-03,2011-08-01,2010-12-07
38936,N,NA,23,4,S,HGH,PVE,M,425,1307692,1994-01-24,2013-01-01,2013-03-19
38943,N,NA,59,5,M,HGH,RET,M,299,2,1958-07-03,9999-10-01,2011-09-19
38945,N,NA,49,6,D,HGH,STE,M,230,7692308,1968-04-05,2009-10-19,2011-05-24
38948,N,NA,59,11,M,HGH,STE,M,270,3230769,1958-09-21,2001-12-02,2005-07-26
38950,N,NA,62,9,M,HGH,RET,F,230,6364615,1978-05-01,9999-10-01,2007-10-19
38953,N,NA,52,10,M,HGH,PVE,F,192,3076923,1995-01-01,2013-10-01,2007-06-25
38954,N,NA,62,2,M,HGH,RET,M,215,8188462,1955-05-03,9999-10-01,2014-12-08
38957,N,NA,61,1,M,HGH,RET,M,237,5686154,1956-07-27,9999-10-01,2015-08-19
38962,N,NA,46,12,S,HGH,SFE,F,176,7846154,2007-10-01,2008-01-21,2005-03-08
38964,N,NA,51,15,D,HGH,PVE,F,1671,969231,2015-07-24,2006-03-20,2001-11-17
38966,N,NA,64,6,M,HGH,RET,M,175,423846,1953-07-15,9999-10-01,2010-12-29
38968,N,NA,61,10,D,HGH,RET,M,255,2833846,1956-07-27,9999-10-01,2006-07-25
38972,N,NA,35,9,S,HGH,PVE,F,283,1692308,1982-03-21,2015-01-01,2007-10-24
38976,N,NA,63,7,D,HGH,RET,F,246,8430769,2010-05-04,9999-10-01,2010-02-04
38977,N,NA,44,4,M,HGH,PVE,F,452,1957692,2009-04-10,2014-12-15,2013-01-04
38979,N,NA,30,1,S,HGH,PVE,F,204,1769231,2012-01-01,2014-09-05,2015-08-25
38983,N,NA,60,11,M,HGH,RET,F,199,9030769,1979-05-01,9999-10-01,2005-10-14
38984,N,NA,49,11,M,HGH,STE,F,366,6762308,2000-11-04,1988-01-11,2005-09-16
38985,N,NA,30,4,S,HGH,PVE,M,284,6230769,2000-01-01,2012-11-01,2012-12-03
38986,N,NA,28,3,S,HGH,PVE,M,181,391538,2008-01-28,2013-12-02,2014-03-25
38990,N,NA,37,8,M,HGH,PVE,F,174,2,2001-06-23,2013-01-16,2008-10-13
38994,N,NA,41,3,M,SEC,PVE,M,174,6153846,2005-12-31,2010-04-12,2013-08-26
38995,N,NA,66,3,M,HGH,RET,M,640,9358462,2012-06-01,9999-10-01,2013-07-22
38996,N,NA,54,11,M,HGH,PVE,M,193,5923077,1963-05-26,2004-06-01,2006-05-03
38999,N,NA,44,10,M,HGH,STE,F,480,3769231,1973-10-22,2003-05-21,2007-05-29
39002,N,NA,62,12,M,HGH,RET,M,324,6081538,2012-08-17,9999-10-01,2005-04-08
39005,N,NA,52,3,M,HGH,PVE,M,307,6923077,1965-07-08,2011-10-19,2014-02-18
39011,N,NA,33,2,S,HGH,PVE,M,165,9692308,1984-09-16,2015-01-01,2015-02-03
39013,N,NA,33,4,S,BCR,PVE,F,281,1903846,1984-01-13,2011-09-20,2012-12-03
39014,N,NA,43,1,M,HGH,PVE,M,284,6153846,2010-06-10,2002-12-09,2015-08-17
39020,N,NA,58,11,M,HGH,PVE,M,192,3076923,1959-07-20,1986-05-05,2005-10-17
39028,N,NA,66,13,M,BCR,RET,F,157,5833846,1998-05-01,9999-10-01,2003-08-20
39032,N,NA,31,1,S,BCR,PVE,F,543,4916154,2007-06-01,2014-02-18,2015-08-17
39033,N,NA,33,8,S,BCR,SFE,M,206,4769231,1985-01-01,2008-08-05,2008-09-27
39037,N,NA,38,9,M,HGH,PVE,M,346,1538462,2006-12-31,2011-07-04,2007-09-27
39042,N,NA,63,13,M,BCR,PVE,M,1005,684615,1995-12-25,2009-05-23,2004-06-15
39043,N,NA,51,10,M,BCR,PVE,F,684,6153846,2003-08-22,2007-02-15,2007-03-26
39048,N,NA,32,8,S,HGH,STE,M,260,4515385,1985-04-14,2008-08-01,2008-08-19
39050,N,NA,43,1,M,HGH,PVE,M,266,1538462,2007-09-01,2005-01-01,2015-08-19
39056,N,NA,44,10,S,HGH,STE,F,278,1692308,1999-06-30,1994-03-01,2007-02-26
39063,N,NA,41,10,M,BCR,OTH,F,1087,6154,2007-01-01,9999-10-01,2007-05-08
39067,N,NA,65,3,M,HGH,RET,M,234,191,1993-02-26,9999-10-01,2014-04-02
39069,N,NA,36,6,S,HGH,PVE,M,258,1230769,2012-01-01,2007-10-01,2010-09-27
39071,N,NA,63,1,M,HGH,STE,M,259,6076923,1959-02-26,1978-04-01,2015-08-14
39074,N,NA,34,1,M,HGH,PVE,F,315,3846154,2006-07-15,2009-09-01,2015-08-18
39082,N,NA,40,1,M,HGH,PVE,F,347,6923077,1995-01-01,2008-01-01,2015-08-31
39086,N,NA,50,2,M,HGH,PVE,F,179,3230769,1988-07-31,2014-12-22,2015-02-25
39087,N,NA,31,3,M,HGH,PVE,F,191,1134615,2011-12-31,2013-09-02,2013-11-15
39088,N,NA,51,1,M,BCR,PVE,F,177,1923077,1993-07-17,2006-04-01,2015-07-23
39091,N,NA,56,8,M,HGH,PVE,F,169,4635385,1981-02-01,2009-02-01,2009-03-03
39093,N,NA,52,13,M,HGH,PVE,M,700,4,1965-12-28,2006-06-01,2003-12-08
39098,N,NA,60,1,M,HGH,RET,F,202,3076923,1985-01-01,2000-11-05,2015-08-19
39102,N,NA,28,1,S,HGH,PVE,F,188,5461538,9999-10-01,2015-07-01,2015-08-31
39103,N,NA,44,13,S,PHD,PVE,F,1796,4,2000-01-01,2011-01-01,2004-03-01
39104,N,NA,37,2,S,HGH,PVE,M,175,9076923,1980-09-17,2014-09-01,2014-12-08
39108,N,NA,45,1,M,BCR,PVE,M,192,1938462,1990-01-01,2015-01-19,2015-08-25
39110,N,NA,67,6,W,HGH,RET,F,219,1919231,1980-09-18,9999-10-01,2011-05-20
39112,N,NA,56,10,D,HGH,STE,F,229,9749231,2005-02-28,1983-04-01,2006-12-12
39113,N,NA,54,3,M,HGH,PVE,F,237,5790769,1998-04-18,2012-09-01,2013-12-10
39115,N,NA,47,11,M,HGH,STE,M,216,3692308,2005-04-14,2003-07-01,2006-04-12
39119,N,NA,62,1,W,HGH,RET,F,216,9230769,1976-05-05,2000-11-03,2015-08-17
39121,N,NA,48,12,S,BCR,PVE,F,381,7606154,1994-01-01,1988-11-10,2005-05-14
39126,N,NA,40,4,M,SEC,PVE,F,315,3846154,1997-04-10,2012-04-23,2013-04-19
39137,N,NA,41,10,M,BCR,STE,F,407,6692308,2007-11-20,2002-09-01,2007-02-21
39144,N,NA,44,10,M,HGH,PVE,F,203,9234615,1995-12-02,2007-06-09,2007-05-08
39147,N,NA,41,15,M,HGH,PVE,M,184,5838462,2004-01-01,9999-10-01,2002-01-03
39155,N,NA,53,9,M,HGH,PVE,F,261,5307692,2003-10-08,2007-07-01,2007-09-24
39158,N,NA,56,11,M,HGH,PVE,M,232,8506154,1983-09-20,2002-12-01,2006-02-08
39159,N,NA,67,7,M,BCR,RET,F,158,2637692,1975-01-01,9999-10-01,2010-06-08
39164,N,NA,33,9,M,HGH,PVE,M,422,8204615,2013-04-17,2012-01-01,2007-09-11
39166,N,NA,57,5,W,SEC,RET,F,234,8550769,1975-03-08,9999-10-01,2011-10-13
39168,N,NA,49,12,M,BCR,STE,F,383,9692308,1984-09-01,1992-10-01,2005-06-23
39171,N,NA,32,1,M,HGH,PVE,M,345,3846154,2013-05-20,2010-08-25,2015-08-28
39175,N,NA,40,1,M,HGH,STE,M,531,2737692,1988-11-01,2000-10-24,2015-09-01
39177,N,NA,47,8,S,HGH,STE,F,315,9753846,1978-03-01,2007-03-01,2008-11-29
39180,N,NA,66,12,W,HGH,RET,M,193,8938462,1988-12-31,9999-10-01,2005-07-05
39186,N,NA,52,1,M,BCR,STE,M,769,2307692,1965-08-25,2000-01-01,2015-08-14
39195,N,NA,26,1,M,BCR,PVE,M,230,7692308,2014-05-10,2015-09-16,2015-08-13
39200,N,NA,38,8,M,HGH,PVE,M,201,230769,2008-05-14,2011-03-21,2008-07-08
39202,N,NA,30,1,M,HGH,PVE,F,284,6153846,2009-01-01,2009-01-01,2015-08-29
39209,N,NA,60,1,M,HGH,RET,F,187,7126923,1994-01-01,9999-10-01,2015-08-19
39214,N,NA,65,11,M,HGH,RET,M,287,140769,1952-09-13,9999-10-01,2005-08-09
39216,N,NA,48,1,M,HGH,PVE,F,292,3076923,1969-05-01,2010-10-15,2015-09-01
